ft,nimi,vuosi,kustantaja,kirjailija,alkukieli,tyyppi
http://www.yso.fi/onto/kaunokki#Instance_ID123175932325638,Drowin tytär,2000,Jalava,"Cunningham, Elaine",eng,romaanit
http://www.yso.fi/onto/kaunokki#Instance_ID123175932645644,Ebola Helsinki,2000,Tammi,"Soininvaara, Taavi",fin,romaanit
http://seco.tkk.fi/saha3/ufff081a2-6fc0-4b26-a791-dc35785bc589,Eetu ja hymyilevä reppu,2000,Päivä,"Vainio, Tuomo",fin,romaanit
http://www.yso.fi/onto/kaunokki#Instance_ID123175933714936,Egyptiläinen vieras,2000,Tammi,"Saylor, Steven",eng,romaanit
http://www.seco.tkk.fi/applications/saha#Instance_ID1245315385977,Ei banaaninkuoria paperikoriin!,2000,Arktinen Banaani,Juba,fin,sarjakuva-albumit
http://seco.tkk.fi/saha3/u29f00eed-6323-4f98-910d-59fbfe765c58,Ei kai hän vaan ole kuollut?,2000,MC-Pilot,"Salonen, Tuula",fin,tietokirjat
http://seco.tkk.fi/saha3/u2a75787d-bf53-4c2d-9ee3-7eb7a247f38e,Ei kenenkään maa,2000,Otava,"Anhava, Helena",fin,aforismikokoelmat
http://www.yso.fi/onto/kaunokki#Instance_ID12317593459641,Ei kukaan ole rakastanut niinkuin sinä,2000,Omakustanne,"Jaakola, Eija",fin,runokokoelmat
http://www.yso.fi/onto/kaunokki#Instance_ID123175935392646,Ei mitään uutta idän pikajunasta,2000,WSOY,"Mills, Magnus",eng,romaanit
http://www.yso.fi/onto/kaunokki#Instance_ID12317593619233,Ei toista armaampaa ,2000,Otava,"Kurvinen, Jorma",fin,romaanit
http://data.kirjasampo.fi/physicalWork_9512834294,"Ei vielä, Rouva Susi",2000,Kirjalito,"Roddie, Shen",eng,kuvakirjat
http://www.yso.fi/onto/kaunokki#Instance_ID123175934475462,Ei-kenenkään-maa,2000,Mallos,"Rönkä, Jouko",fin,novellikokoelmat
http://seco.tkk.fi/saha3/ua5232dea-a35c-4eca-be11-a507aad9672f,Ella ja Pukari,2000,Tammi,"Parvela, Timo",fin,romaanit
http://seco.tkk.fi/saha3/uce5ad21c-754c-4c1c-99a9-4b7f88cd075e,Elli Vaahtopää,2000,Tammi,"Luukkonen, Marja",fin,romaanit
http://seco.tkk.fi/saha3/u15e8e13c-ccd7-4c73-b156-ee8fa911f126,Elmeri,2000,Lasten Keskus,"Orvola, Mirja",fin,romaanit
http://data.kirjasampo.fi/physicalWork_9518820201,Elmeri ja outo eläin,2000,Kustannus-Mäkelä,"McKee, David",eng,kuvakirjat
http://data.kirjasampo.fi/physicalWork_9518820503,Elmeri menee piiloon,2000,Kustannus-Mäkelä,"McKee, David",eng,kuvakirjat
http://seco.tkk.fi/saha3/u7ddfe97a-c526-421d-adbf-38945b93b15c,Elsan ja Eetun erikoistapaukset,2000,Tammi,"Marttinen, Tittamari",fin,romaanit
http://www.yso.fi/onto/kaunokki#Instance_ID123175939713952,Elukkatehdas,2000,Like,"Bunker, Edward",eng,romaanit
http://data.kirjasampo.fi/physicalWork_9512340216,Eläinpienokaisia,2000,Karisto,"Tuxworth, Nicola",eng,kuvakirjat
http://data.kirjasampo.fi/physicalWork_9517461550,Eläinten hovissa,2000,Suomalaisen Kirjallisuuden Seura,"Timonen, Eija",fin,satukokoelmat
http://data.kirjasampo.fi/physicalWork_9512834057,Eläinten seikkailuja,2000,Kirjalito,"Scheurering, Erika",deu,kuvakirjat
http://www.yso.fi/onto/kaunokki#Instance_ID123175938034050,Elämä on unta,2000,WSOY,"Barca, Calderon De La Pedro",spa,näytelmät
http://seco.tkk.fi/saha3/ufa765199-1d77-4176-8ce4-b4c2e2fe328a,Elämän laulu,2000,Ihmisyyden tunnustajat,"Pajarinen, Elsa",fin,runokokoelmat
http://seco.tkk.fi/saha3/u26493345-bf4d-419b-a60c-4b09081fd945,Elämän lehtiä,2000,Omakustanne,"Kouttu, Timo",fin,runokokoelmat
http://seco.tkk.fi/saha3/u7dd58b04-41c6-456a-bcf5-77b61625cdee,Elämän merellä,2000,Omakustanne,"Jokela, Raija",fin,runokokoelmat
http://www.yso.fi/onto/kaunokki#Instance_ID123175937825065,Elämän palapeli,2000,Karisto,"Marttila, Johanna",fin,romaanit
http://www.yso.fi/onto/kaunokki#Elaman_pyorteissa,Elämän pyörteissä,2000,Omakustanne,"Björses, Viena",fin,romaanit
http://www.yso.fi/onto/kaunokki#Instance_ID123175937931473,Elämän tivolissa ,2000,Kesuura,"Lyytikäinen, Toivo",fin,romaanit
http://seco.tkk.fi/saha3/u171ab3b2-67e6-4752-9263-a31a403109f2,Elämäni kirjava kudos,2000,Omakustanne,"Niemelä, Yrjö",fin,tietokirjat
http://www.yso.fi/onto/kaunokki#Instance_ID123175937478695,Elämäni varrelta,2000,Kesuura,"Mård, Veikko",fin,runokokoelmat
http://seco.tkk.fi/saha3/u96a12e68-8020-4b05-8adf-8d08c7e6edd4,Elämää erämaan varjossa,2000,Omakustanne,"Paananen, Sylvi",fin,romaanit
http://www.yso.fi/onto/kaunokki#Instance_ID123175937011635,Elämää etsimässä,2000,WSOY,"Sutcliffe, William",eng,romaanit
http://seco.tkk.fi/saha3/u911967d6-23f3-4d48-8a51-580334bd3f16,Elävien nukkejen yö,2000,Helsinki Media,"Stine, R. L.",eng,romaanit
http://www.yso.fi/onto/kaunokki#Instance_ID123175938270050,Eläviä ja kuolleita,2000,Lasipalatsi,"Keski-Vähälä, Sami",fin,näytelmät
http://seco.tkk.fi/saha3/u038849fb-ba49-4639-abf0-db46ebf4a754,Emma ja Daniel. Kohtaaminen,2000,Tammi,"Wahl, Mats",swe,romaanit
http://data.kirjasampo.fi/physicalWork_9510242934,Emma on eri mieltä,2000,WSOY,"Harainen, Pirkko",fin,kuvakirjat
http://data.kirjasampo.fi/physicalWork_9518820244,Emmi ja myrsky,2000,Kustannus-Mäkelä,"Rydén, Inger",swe,kuvakirjat
http://data.kirjasampo.fi/physicalWork_9513565513,En halua nukkumaan,2000,Weilin + Göös,"Sykes, Julie",eng,kuvakirjat
http://seco.tkk.fi/saha3/u196f436c-c09b-4046-af56-da54a1ac932d,"En pelkää sinua, elämä",2000,Aika,"Palola, Tuula",fin,runokokoelmat
http://data.kirjasampo.fi/physicalWork_9516273025,En tahdo sairaalaan,2000,Lasten Keskus,"Ross, Tony",eng,kuvakirjat
http://seco.tkk.fi/saha3/u3b675eb1-efd5-4ef0-92f1-863aa1114e23,En varmasti sano kyllä!,2000,Kustannus-Mäkelä,"Mooney, Bel",eng,romaanit
http://www.yso.fi/onto/kaunokki#Instance_ID123175940236790,Endymionin nousu,2000,Like,"Simmons, Dan",eng,romaanit
http://www.yso.fi/onto/kaunokki#Instance_ID123175940579049,Enkelihiutaleet,2000,RKS-tietopalvelu,"Suikkari, Raimo",fin,runokokoelmat
http://seco.tkk.fi/saha3/u6f92c5cb-fb02-4d89-b711-92cdadd08eb2,Enkelimysteerio,2000,Tammi,"Gaarder, Jostein",nor,romaanit
http://www.yso.fi/onto/kaunokki#Instance_ID123175940860812,Enkelit eivät änkytä,2000,Seaflower,"Montauban, Juan Batiste",fin,romaanit
http://www.yso.fi/onto/kaunokki#Instance_ID123175941254258,Enkelten portaat,2000,Tammi,"Connelly, Michael",eng,romaanit
